,age,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,gender_code,region_category_code,membership_category_code,year,joined_through_referral_code,preferred_offer_types_code,medium_of_operation_code,internet_option_code,used_special_discount_code,offer_application_preference_code,past_complaint_code,complaint_status_code,feedback_code
69,55,18,42.77,8996.95,749.56,0,1,4,4,1,0,3,1,1,0,1,4,3
70,59,50,207.52,12556.28,-44.597632583960205,0,1,2,4,2,1,2,0,0,1,0,1,0
71,39,13,98.57,2645.63,674.42,1,0,2,5,1,1,2,1,0,1,0,1,2
72,11,23,176.31,8983.02,707.46,1,0,1,5,1,0,0,2,0,1,1,2,2
73,37,17,687.16,29101.96,713.82,1,2,2,5,0,2,1,1,1,1,0,1,1
74,53,50,253.96,19233.1,1032.199126230719,1,0,2,4,1,0,2,2,1,0,1,2,3
75,57,13,119.1,44341.82,563.92,1,1,2,5,1,2,2,0,1,0,1,0,1
76,47,10,131.86,26399.43,757.01,1,1,5,6,0,2,0,2,0,1,1,3,1
77,50,19,65.39,17054.69,353.3690014856328,1,1,1,6,2,0,2,2,0,1,1,2,0
78,49,3,74.9,41612.23,1196.5693152600402,0,0,5,5,2,1,0,2,0,1,1,3,0
79,54,20,-687.6295740289631,42060.89,684.69,1,1,5,4,0,0,3,1,1,0,1,0,3
80,30,9,97.74,32347.7,710.84,1,2,1,5,1,2,2,0,0,1,0,1,1
81,25,13,135.21,3561.26,736.99,0,0,5,6,0,2,0,1,1,0,1,2,7
82,53,18,172.99,9044.15,763.14,0,0,4,6,1,1,2,2,1,0,1,3,4
84,62,5,304.52,47658.52,699.19,0,0,2,5,1,2,1,0,0,1,1,2,7
85,55,1,1316.52,2367.56,441.8365499392011,1,0,3,6,2,0,1,1,1,0,0,1,0
87,30,12,191.41,25575.44,648.68,1,0,5,4,1,0,3,0,0,1,1,3,1
88,51,13,135.09,48819.9,843.7099090784645,1,1,4,6,2,2,2,2,1,0,1,3,1
89,29,12,123.37,13032.52,1038.7398181569292,1,2,5,4,2,1,3,0,1,0,0,1,0
90,16,9,355.31,20457.22,1233.7697272353937,1,0,5,4,0,1,2,0,1,1,1,3,2
91,25,11,31.88,35414.54,788.67,0,2,1,4,2,2,3,1,0,1,0,1,0
92,62,14,125.0,38802.24,758.6800000000001,0,0,0,4,1,0,3,2,0,1,1,4,0
93,24,5,181.34,43554.96,728.69,0,1,4,4,2,2,2,0,1,0,1,3,4
95,56,24,48.59,28071.04,533.05,1,2,0,4,2,0,2,2,0,1,1,2,3
97,23,21,727.69,4919.72,758.83,0,1,1,5,2,2,2,2,1,1,0,1,7
98,42,3,419.51,14661.42,404.4897583720529,0,0,2,5,1,1,1,0,0,1,1,3,0
99,59,8,899.04,49614.88,758.69,1,2,1,6,2,2,1,1,1,0,0,1,3
100,18,11,293.42,2521.3,964.8409708374116,1,1,0,6,1,0,2,1,1,0,1,0,1
101,23,10,934.354219849904,11955.94,630.8,1,0,1,6,2,0,2,2,0,1,1,4,1
102,52,4,826.51,14877.24,522.61,0,0,0,4,2,0,3,1,1,0,0,1,1
103,49,21,115.41,41156.81,741.02,0,1,4,5,2,1,2,1,0,1,0,1,1
105,31,14,148.95,2364.45,634.51,0,1,0,5,1,1,2,1,0,1,0,1,7
106,27,21,357.45,29825.45,665.63,1,0,5,5,1,0,3,1,0,1,1,2,3
107,56,21,1386.2328573111793,9454.17,778.27,1,0,1,5,1,2,2,0,1,0,0,1,7
109,31,10,428.05,6325.08,80.09369312905504,0,1,5,4,1,0,1,2,0,1,0,1,2
110,29,14,42.48,16098.94,766.85,1,1,4,5,1,1,2,2,1,0,1,2,3
111,31,24,33.91,23226.43,762.48,0,0,5,5,2,2,3,2,0,1,1,2,1
112,11,8,1060.5279791549135,10990.31,271.71438129394863,0,1,0,6,1,1,2,1,1,0,0,1,2
113,14,50,1156.4319042423044,32302.27,520.33,1,1,0,4,1,0,2,1,0,1,0,1,1
114,26,7,187.91,17002.23,700.11,1,0,5,4,2,1,3,1,0,1,0,1,7
116,51,3,-494.0838770502796,40667.27,809.83,1,2,3,4,1,2,2,0,1,0,0,1,6
117,43,20,-771.4156089065677,16186.76,633.22,0,2,5,5,2,0,3,0,1,0,0,1,1
118,23,12,109.76,46102.66,783.03,1,1,1,5,0,1,2,0,1,0,0,1,2
119,57,50,56.63,10171.97,757.61,1,1,1,6,2,1,2,2,1,0,1,3,0
121,42,10,1195.7326664672294,31504.62,1207.2537286760455,1,0,3,6,2,0,3,2,1,0,0,1,1
122,21,7,99.95,22865.42,918.4268643380228,0,0,5,5,1,0,0,1,0,1,0,1,0
123,46,21,287.39,44809.68,629.6,1,2,2,4,2,0,3,0,0,1,0,1,2
125,61,7,115.29,13019.31,164.07034816193467,1,0,0,4,0,1,3,1,1,0,1,3,2
126,15,5,185.05,43833.54,743.57,0,0,4,6,0,1,2,0,0,1,0,1,2
128,35,17,219.13,70247.76,1293.1693808393377,1,0,1,6,1,2,1,0,1,1,0,1,8
129,57,8,400.35,30248.45,660.25,1,1,2,6,2,0,3,2,0,1,1,4,1
130,64,20,49.24,39981.97,648.6,1,1,2,6,1,0,2,2,1,0,1,2,7
131,21,16,590.85,21919.13,610.24,1,1,0,4,2,0,3,1,1,0,1,2,2
132,53,22,1142.148835374673,34918.7,699.08,0,1,1,4,1,0,3,2,1,0,1,3,3
133,26,16,138.33,8025.77,1016.7857130097486,1,2,2,4,2,0,2,1,1,0,0,1,1
134,61,7,516.46,45544.33,780.96,1,1,1,5,2,0,3,1,0,1,1,4,7
135,30,19,211.19,2554.48,622.45,1,1,2,6,1,2,2,0,1,1,1,2,3
136,38,19,942.84,49037.16,661.95,1,1,1,6,2,1,2,0,0,1,0,1,0
137,35,10,267.45,32922.76,701.45,0,0,1,6,1,2,3,0,0,1,0,1,0
139,53,19,213.34,8860.9,671.74,1,0,1,4,1,0,2,1,1,0,1,2,3
140,55,23,50.48,8944.54,626.96,1,1,2,4,1,0,0,2,1,0,1,4,1
141,23,13,1044.243493684985,26060.01,684.88,1,0,0,5,2,0,3,2,1,0,1,2,3
142,11,50,628.79,33199.52,777.94,1,1,4,6,2,1,1,1,1,0,1,0,1
143,22,17,56.58,41050.72,552.0355354348648,1,1,2,4,1,1,0,1,1,0,1,2,3
144,37,11,172.07,23587.32,326.1310708697294,1,2,5,6,2,1,3,0,1,0,0,1,3
146,20,11,144.33,54420.14,709.72,1,0,3,5,1,1,3,1,0,1,0,1,8
147,53,7,787.74,20129.88,668.49,1,0,4,4,2,2,1,0,1,0,1,3,5
148,38,26,30.49,37139.89,627.26,0,0,0,4,0,1,0,0,1,0,0,1,1
149,59,8,400.21,33996.1,697.6,0,0,0,5,1,2,1,2,1,1,0,1,2
150,50,13,103.36,39610.89,653.12,0,1,1,5,2,0,3,0,1,0,1,2,1
151,64,8,58.15,27995.24,679.79,0,0,5,6,0,0,3,1,1,0,0,1,2
152,27,10,862.2,35895.98,706.46,0,1,1,4,2,0,3,2,0,1,0,1,0
153,12,9,412.22,1313.11,733.13,0,1,1,4,0,2,2,2,1,1,0,1,4
154,29,19,222.69,18297.21,774.47,0,2,4,5,2,1,3,2,0,1,1,0,4
155,39,16,283.85,3888.65,959.9204100132208,0,0,5,5,1,1,3,2,1,0,0,1,4
156,37,17,136.19,6965.48,1181.873762583066,0,0,4,4,0,0,2,0,1,0,0,1,7
157,37,5,32.29,63097.55,780.09,0,1,1,5,1,1,3,2,0,1,0,1,8
158,21,12,145.45,48500.63,727.97,1,1,5,6,1,1,2,2,0,1,1,2,1
159,64,10,313.84,23211.35,573.16,0,1,0,4,1,0,3,0,1,0,0,1,2
160,56,11,254.72,28425.26,789.3,0,1,5,5,0,2,3,2,1,1,0,1,0
161,37,9,206.56,13037.39,616.68,0,1,0,5,1,1,2,0,1,0,1,3,7
162,55,21,51.75,27564.76,660.59,1,1,0,5,1,1,3,2,0,1,0,1,7
163,18,10,117.9,49537.82,528.08,1,0,0,5,2,2,3,0,1,0,1,2,2
165,57,6,32.89,16340.59,697.1,1,1,4,4,1,2,3,2,1,0,1,3,3
166,48,15,77.18,49448.05,605.23,0,0,0,4,2,0,2,1,0,1,1,0,2
167,54,8,60.77,45095.33,692.59,1,1,0,5,1,0,2,2,1,0,0,1,2
168,52,15,197.85,42084.72,710.7,0,2,1,4,1,2,3,1,0,1,0,1,1
169,33,11,502.4,4714.82,472.8025703520018,0,1,3,4,2,2,1,1,1,0,0,1,3
170,35,6,33.96,6175.77,545.14,1,1,2,4,2,0,3,0,1,0,0,1,2
171,42,13,617.09,33226.66,1053.420685435173,1,0,3,6,0,2,1,1,1,1,1,0,2
172,39,9,34.93,42965.53,630.68,0,0,1,4,1,1,2,0,0,1,1,2,2
173,50,20,198.19,20710.0,692.325,0,0,1,5,2,2,2,0,0,1,1,4,2
174,29,11,317.25,17951.87,753.97,1,0,4,6,2,1,2,2,0,1,0,1,1
175,47,5,876.87,41927.46,636.3,1,1,2,4,2,0,0,0,1,0,1,3,3
176,16,8,133.36,21896.63,644.25,0,0,1,4,1,1,0,2,1,0,0,1,0
178,14,10,33.34,46392.24,582.93,0,0,2,5,1,1,2,0,1,0,0,1,1
179,13,5,84.05,10423.83,1044.8153799682143,0,2,4,5,1,1,3,0,0,1,1,0,0
180,56,19,69.22,14117.54,523.54,0,1,2,5,2,2,2,2,0,1,1,3,3
181,64,14,32.16,67458.29,764.62,0,0,5,5,1,1,2,1,1,0,1,3,8
182,47,20,692.73,18404.11,1072.7451280522948,1,1,2,6,2,1,1,2,1,0,1,0,3
183,46,12,261.76,15786.32,704.13,0,1,4,6,0,2,1,1,0,1,0,1,2
184,45,14,38.65,1225.14,700.07,1,1,4,4,2,0,3,1,1,0,1,4,7
185,60,16,182.16,43782.88,761.49,0,1,4,6,2,2,3,2,0,1,1,3,8
186,19,20,31.98,14432.03,730.04,0,1,4,5,2,2,3,0,1,0,1,2,1
187,21,12,283.79,38527.24,760.53,0,1,5,4,1,0,0,1,1,0,1,0,0
188,60,9,1185.912249727444,29872.64,744.29,1,0,5,6,0,0,1,1,1,0,1,3,1
189,32,17,329.16,37811.56,757.14,1,1,1,4,1,0,3,1,0,1,1,4,3
190,36,7,700.63,26571.36,738.84,0,1,4,4,2,1,1,0,1,1,0,1,4
191,52,3,166.57,45964.8,630.0,0,1,0,5,1,1,3,2,1,0,1,0,7
192,39,12,126.05,43632.02,594.51,1,1,2,5,2,2,3,0,1,0,0,1,3
193,42,11,428.35,26483.73,713.42,0,0,5,5,1,1,2,0,0,1,0,1,0
194,56,16,148.06,15456.63,984.3321161749412,1,1,5,4,2,0,0,2,0,1,1,3,0
195,17,15,196.56,1246.57,766.76,0,1,1,4,1,0,2,0,1,0,1,3,0
196,56,10,359.98,38699.34,560.14,1,1,2,5,1,2,2,2,0,1,1,0,1
197,33,22,32.47,25468.76,298.8686939801553,0,0,4,4,1,0,2,1,0,1,0,1,1
198,33,22,177.73,35286.1,709.01,0,0,1,6,1,2,3,0,1,0,1,0,3
199,41,9,493.22,20294.0,684.4300000000001,1,1,0,6,1,1,3,0,1,0,0,1,3
200,42,4,316.14,13516.16,659.85,0,0,0,4,1,1,0,1,0,1,1,2,2
202,12,22,108.2,2998.4,678.14,0,0,2,6,2,1,0,2,1,0,1,0,7
203,23,11,-900.2103186369052,14865.87,716.2166666666667,0,2,0,6,1,1,2,1,0,1,1,2,0
204,14,5,407.97,19138.74,754.2933333333333,0,1,1,6,1,1,1,2,0,1,0,1,3
205,62,6,308.28,38497.78,792.37,0,1,1,6,2,2,3,0,1,0,1,4,7
206,60,7,67.78,14175.2,464.5011749930118,1,1,1,6,0,1,2,1,0,1,1,3,1
207,56,5,732.71,47547.72,936.3622800699138,1,1,0,5,2,2,2,1,1,1,1,4,2
209,18,21,32.82,46250.9,779.89,0,1,1,5,1,2,2,2,1,0,0,1,8
210,63,17,1099.5,95625.4,771.52,1,2,1,4,2,0,1,0,0,1,0,1,5
211,23,15,547.87,36383.39,763.15,1,0,1,4,2,2,2,0,0,1,1,2,4
212,17,14,80.4,15214.2,761.95,1,0,3,4,2,0,2,1,1,0,0,1,0
213,42,8,179.84,39667.91,-38.0843140071828,0,0,1,5,2,2,2,2,0,1,0,1,2
214,31,10,731.24,36981.7,774.16,0,0,5,4,0,2,2,2,0,1,1,4,1
215,12,13,49.19,35209.09,799.43,0,1,1,4,1,0,0,2,0,1,1,0,5
217,16,7,34.49,31418.7,770.66,0,1,4,4,1,1,2,0,1,0,1,4,2
218,38,17,117.11,29114.92,521.7,1,1,0,5,2,2,2,1,0,1,1,0,7
219,15,50,93.76,28456.92,704.31,1,0,3,6,1,1,0,2,0,1,0,1,3
220,30,50,121.38,13374.01,693.0,1,0,2,6,1,0,2,2,1,0,0,1,3
221,64,10,445.01,37220.97,550.13,1,2,2,5,1,1,1,1,0,1,1,2,3
222,59,10,628.79,40093.14,622.06,1,1,2,6,2,0,3,1,0,1,0,1,1
223,23,11,31.45,18606.73,621.94,1,0,2,6,1,1,2,0,0,1,0,1,2
224,32,24,38.88,41019.89,750.83,0,1,5,6,1,2,3,2,0,1,1,2,5
226,42,22,1097.8218895490347,27380.8,799.91,1,0,3,5,2,0,0,1,0,1,1,3,2
227,12,8,322.3,14310.09,559.2451349253587,1,1,2,4,1,2,2,2,1,0,0,1,2
228,45,13,31.2,37295.99,1196.6007504272748,1,0,4,6,2,1,0,2,0,1,0,1,7
229,19,11,38.63,23832.38,955.2953752136374,0,1,3,6,2,2,3,0,0,1,1,2,2
230,55,12,291.94,97643.81,713.99,0,0,1,6,1,2,3,0,1,1,0,1,8
231,16,50,343.13,32605.84,335.26208183526705,0,0,5,4,1,2,2,2,0,1,0,1,1
232,56,19,180.37,21460.83,240.15819303168496,1,0,3,5,0,1,3,0,1,0,0,1,1
233,24,23,31.81,36494.51,622.69,0,1,5,5,2,1,0,1,0,1,0,1,1
234,24,12,31.86,21842.03,743.44,0,1,3,6,1,2,3,1,0,1,0,1,7
235,53,5,428.81,40698.54,600.39,1,1,0,6,1,0,0,1,0,1,1,3,3
236,12,17,97.85,31574.54,615.74,0,1,2,6,1,0,0,2,0,1,0,1,3
237,58,19,1223.7690114582874,47756.12,631.09,1,1,0,6,0,2,2,0,1,0,0,1,0
238,63,15,1090.92,12483.66,705.75,0,2,4,4,2,0,3,1,1,1,1,3,5
239,62,13,402.05,20411.69,517.3513913379674,1,1,1,5,1,1,3,1,1,0,0,1,4
240,48,2,33.18,24394.24,1042.0870641604756,0,2,3,6,2,1,2,1,0,1,1,0,2
242,64,9,-408.2693518941809,36532.11,621.72,0,0,0,4,2,1,1,0,0,1,0,1,3
244,39,15,46.22,35937.37,595.97,1,0,2,6,0,1,2,1,1,0,0,1,7
245,52,15,45.45,47218.23,632.14,0,0,2,5,1,2,0,0,0,1,0,1,7
246,54,2,67.48,47619.23,754.69,0,1,1,5,2,1,3,0,0,1,0,1,5
247,12,2,226.47,27477.44,748.61,1,1,5,6,2,0,3,2,1,0,0,1,1
249,23,16,125.89,77291.02,1085.7706011868645,1,1,4,4,1,2,2,2,1,0,1,2,6
250,62,17,112.9,20038.77,274.3235842251838,0,2,2,4,2,0,3,1,0,1,0,1,2
253,22,10,589.12,36545.91,680.88,1,2,0,6,0,2,2,2,1,0,1,4,1
254,38,17,174.48,40594.31,615.71,1,1,2,4,1,1,2,1,0,1,1,3,0
255,28,16,43.58,23397.98,759.48,1,0,3,4,2,2,3,2,1,0,0,1,1
256,39,9,32.91,11023.03,208.90394517916,0,0,5,4,1,0,2,0,0,1,0,1,7
257,61,20,100.33,34614.42,642.93,0,1,2,4,2,1,2,2,0,1,1,3,0
258,64,11,449.03,33430.37,435.9525482844404,1,1,1,5,0,1,2,1,0,1,1,2,5
259,37,7,43.78,17353.48,282.36387933775825,1,1,5,5,2,2,3,2,1,0,0,1,1
261,54,10,32.13,35792.72,690.0600000000001,1,1,4,6,2,1,3,0,1,0,1,2,1
262,34,19,154.58,3612.98,715.14,0,0,1,5,1,0,2,1,1,0,1,2,1
263,50,11,145.59,13518.27,740.22,0,1,5,6,2,1,0,0,1,0,0,1,1
264,20,14,233.72,15596.42,780.92,0,1,1,6,2,0,2,2,1,0,0,1,3
265,27,15,304.09,32189.63,549.41,0,2,2,6,2,0,2,1,0,1,1,0,7
266,14,14,163.99,27114.49,583.06,0,1,2,5,0,0,0,2,0,1,1,3,0
268,55,12,488.0,20417.72,656.21,0,0,2,4,1,0,2,2,0,1,0,1,3
269,21,13,39.62,46139.37,673.05,0,0,2,6,1,1,3,1,1,0,0,1,1
270,12,17,110.59,12478.19,671.23,1,1,2,4,2,1,2,2,0,1,1,2,1
271,58,6,1600.12,15610.96,725.74,0,1,1,4,2,2,1,0,0,1,1,3,3
272,23,9,54.12,24610.29,653.38,0,1,0,6,1,0,3,2,0,1,1,3,1
273,55,6,633.62,58077.98,796.0,0,1,5,5,0,2,3,0,1,1,1,3,8
275,16,26,936.34,30998.94,778.24,1,0,1,4,2,2,2,0,1,1,1,4,0
276,17,6,352.25,31444.17,668.44,1,1,5,5,1,2,3,1,1,1,1,2,7
277,11,18,128.93,66961.7,765.97,1,0,4,6,1,2,3,0,0,1,0,1,5
278,44,20,38.56,16717.72,550.1900865886548,1,0,1,4,2,0,3,0,1,0,1,3,3
279,16,7,220.07,45054.8,623.93,0,1,1,5,1,0,2,0,1,1,0,1,7
280,30,21,31.66,5643.14,711.22,0,0,2,4,2,1,0,2,0,1,0,1,7
281,17,9,1053.12,15799.78,945.4319714217356,0,1,5,5,2,0,2,1,1,1,1,2,2
282,35,11,263.58,34046.4,649.88,1,0,1,4,2,1,1,1,1,0,0,1,1
283,62,12,282.88,40612.89,615.065,1,0,0,4,2,2,2,1,0,1,1,2,0
284,25,14,142.87,43660.25,580.25,1,1,0,4,0,0,2,2,0,1,1,0,1
286,58,15,120.5,4165.97,694.31,0,1,0,5,1,0,0,1,1,0,0,1,2
287,62,20,103.42,36445.77,663.11,0,1,0,4,1,0,2,1,1,0,0,1,2
288,41,7,248.72,33879.22,713.39,1,1,1,6,0,2,3,2,0,1,1,3,1
289,48,50,58.73,39995.8,708.74,1,1,4,6,2,1,2,0,0,1,0,1,1
290,41,10,129.09,25893.09,732.65,1,0,3,4,0,1,3,1,1,0,1,2,2
292,21,9,164.87,49628.7,188.1924468650877,1,1,3,6,1,0,3,1,1,0,0,1,7
294,40,12,126.63,44732.67,500.81081562169584,0,0,0,6,2,0,3,1,1,0,0,1,2
296,38,11,376.93,31089.9,1071.824762921459,1,2,2,6,1,2,2,1,1,0,1,2,0
297,12,13,619.2,44015.54,826.4263584408252,0,0,2,5,2,2,1,0,1,1,0,1,2
298,34,5,165.92,46167.97,661.83,0,1,5,5,1,1,2,1,0,1,0,1,0
300,43,13,641.9,11203.68,614.1,1,0,0,4,2,0,0,1,0,1,0,1,3
301,15,14,766.04,44858.07,689.99,1,1,5,5,2,1,3,1,1,1,0,1,1
303,55,7,792.59,44496.31,741.71,1,1,4,4,2,2,3,1,1,0,0,1,7
304,59,12,629.37,23602.1,742.41,0,1,4,6,2,1,2,2,1,1,0,1,3
305,50,22,56.28,6124.94,561.78,1,1,2,6,2,1,3,0,0,1,0,1,3
306,48,20,200.46,40236.57,647.61,0,0,0,5,2,0,3,1,1,0,0,1,0
307,23,16,1262.444588953495,12163.94,677.29,0,0,2,6,2,2,3,1,1,0,0,1,1
308,55,14,299.27,7015.77,718.915,1,1,2,4,1,2,3,1,0,1,1,2,2
309,33,20,260.92,70639.99,760.54,1,0,3,5,1,1,3,1,0,1,0,1,8
310,49,15,30.58,38036.67,636.43,1,1,2,6,2,2,3,2,1,0,1,2,7
311,55,16,34.61,45824.46,607.56,1,1,5,4,1,2,0,1,1,0,1,0,0
312,56,11,177.42,6280.96,578.69,0,2,2,4,2,2,3,0,1,0,1,0,0
313,32,15,33.77,32673.05,529.02,0,0,2,5,2,1,2,2,0,1,0,1,0
314,52,15,33.5,50085.74,1242.2009985123775,1,2,1,5,1,2,2,2,0,1,0,1,6
315,16,8,62.53,23123.43,524.34,1,1,2,5,2,0,3,2,1,0,0,1,7
316,48,15,583.96,38477.8,608.37,0,2,0,6,2,0,3,1,1,0,0,1,0
317,61,9,315.37,28202.86,778.62,1,0,3,4,1,1,3,1,1,0,0,1,3
318,33,14,146.24,2203.18,301.5444843542952,0,1,0,5,2,2,3,2,0,1,1,3,0
319,22,20,103.51,21574.0,414.2461508169796,1,0,2,5,2,1,2,2,0,1,1,3,2
320,15,19,-739.6765748636568,1808.39,746.5035545528101,1,0,0,6,1,2,3,2,1,0,0,1,0
321,10,12,142.34,38249.21,1078.7609582886407,0,2,5,5,1,2,0,0,1,0,1,4,0
322,50,4,-431.082163122269,9508.56,165.4194560969639,1,2,3,5,2,1,1,0,1,0,1,0,0
323,12,14,86.25,31792.97,1098.6008511296418,1,0,2,5,2,0,2,1,0,1,1,0,7
324,10,50,78.93,49093.95,791.99,1,1,4,6,2,1,3,1,1,0,0,1,7
325,12,8,122.17,12440.72,677.35,1,1,2,4,1,0,2,0,0,1,1,0,3
326,45,6,1482.53,13626.01,555.38,0,1,2,4,2,2,3,2,1,1,0,1,0
327,14,1,385.72,18512.96,557.61,0,1,2,5,2,2,2,2,1,1,1,2,0
328,40,14,91.7,23406.99,668.48,0,1,0,4,2,2,3,2,0,1,1,2,7
329,25,24,31.84,11412.83,703.86,1,0,3,4,2,0,3,2,1,0,1,3,3
331,37,13,32.62,47228.58,754.345,0,0,0,4,2,2,3,1,0,1,1,2,0
332,13,4,150.97,85750.12,785.69,1,0,5,5,1,1,2,2,1,0,0,1,5
333,33,50,94.2,56741.77,710.79,0,1,5,6,2,1,2,0,0,1,0,1,6
